Date,Sales_Total_Nominal,Inventories_Total_Nominal,Inventories_to_Sales_Ratio_Nominal,Sales_YoY_Growth
2000-09-01,237498,305223,1.285160296086704,7.514293862806087
2000-10-01,238481,307282,1.2884967775210603,6.551781142629909
2000-11-01,237251,309328,1.3038006162250106,4.893846548354874
2000-12-01,239613,309191,1.290376565545275,5.1935394651927425
2001-01-01,239255,308745,1.2904432509247457,4.071876604000102
2001-02-01,237781,309036,1.2996664998464975,3.887575748308092
2001-03-01,233603,309051,1.3229753042555104,0.7317620070200759
2001-04-01,233352,310478,1.3305135589152868,0.1635396680273571
2001-05-01,234143,311619,1.33089180543514,0.22300981928071728
2001-06-01,229955,309196,1.3445935074253659,-2.7271342882039917
2001-07-01,231346,306252,1.3237834239623767,-1.7129893193076673
2001-08-01,232379,305464,1.314507765331635,-1.2057054184469562
2001-09-01,231493,304703,1.316251463327185,-2.528442344777637
2001-10-01,227749,302932,1.3301134143289324,-4.500148858818942
2001-11-01,227826,299419,1.3142442039100015,-3.972585995422573
2001-12-01,227036,297536,1.3105234412163709,-5.2488804864510685
2002-01-01,228647,296742,1.297817159201739,-4.4337631397462935
2002-02-01,230432,293971,1.2757386126926815,-3.090659051816591
2002-03-01,229851,294235,1.2801118985777742,-1.6061437567154502
2002-04-01,234124,293159,1.252152705403974,0.33083067640302666
2002-05-01,235481,293545,1.246576156887392,0.571445655005709
2002-06-01,236773,294389,1.2433385563387718,2.964927920680127
2002-07-01,238061,296774,1.246630065403405,2.9025788213325576
2002-08-01,240158,297511,1.2388136143705395,3.347548616699436
2002-09-01,240070,298695,1.2441996084475362,3.7050796352373405
2002-10-01,238912,298369,1.2488656911331368,4.901448524472118
2002-11-01,242479,298642,1.23162005781944,6.431662760176615
2002-12-01,239511,301310,1.2580215522460347,5.494723303793236
2003-01-01,244524,301205,1.2318013773699106,6.943891675814684
2003-02-01,244835,302158,1.2341291073580167,6.2504339675045095
2003-03-01,246870,303318,1.2286547575647102,7.404361956223804
2003-04-01,242543,304061,1.2536374993300157,3.5959576976303254
2003-05-01,241416,302570,1.2533137820194187,2.5203731935909968
2003-06-01,245465,301701,1.2290998716721324,3.6710266795622726
2003-07-01,247901,301870,1.217703841452838,4.133394382112154
2003-08-01,247738,301237,1.2159499148293762,3.1562554651521024
2003-09-01,249360,302157,1.2117300288739172,3.8697046694714077
2003-10-01,253729,305149,1.2026571657161775,6.2018651218858745
2003-11-01,255060,306187,1.2004508743040854,5.188490549697078
2003-12-01,257983,308274,1.1949392014202487,7.712380642225192
2004-01-01,258202,308587,1.195137915275637,5.5937249513340115
2004-02-01,264437,312700,1.1825122808079052,8.006208262707549
2004-03-01,272639,314684,1.1542149142272382,10.438287357718634
2004-04-01,272877,314712,1.153310832353038,12.506648305661262
2004-05-01,274203,318279,1.1607422238268728,13.58112138383538
2004-06-01,274798,320985,1.1680761868718113,11.949972501171246
2004-07-01,276022,326753,1.1837933208222533,11.34364121161271
2004-08-01,279496,330102,1.1810616252110941,12.819188013142924
2004-09-01,280106,330046,1.1782896474905928,12.329964709656727
2004-10-01,283793,335173,1.181047453601745,11.848862368905412
2004-11-01,287485,339330,1.1803398438179382,12.712695052144586
2004-12-01,291522,340128,1.166731841850701,13.000469023152682
2005-01-01,293241,345246,1.177345596284285,13.570382878521459
2005-02-01,294847,347095,1.1772037700909286,11.49990356871391
2005-03-01,294069,348757,1.18596995943129,7.860210754880992
2005-04-01,298228,352024,1.1803854768834583,9.290266310462215
2005-05-01,297053,352900,1.1880034875931231,8.33324216000555
2005-06-01,297517,354277,1.190779014308426,8.267527420141342
2005-07-01,301794,355599,1.1782838625022367,9.336936910825955
2005-08-01,306650,357377,1.1654231208217838,9.715344763431322
2005-09-01,311945,358776,1.1501258234624694,11.366768294859808
2005-10-01,317361,361816,1.140077073112323,11.828339670111676
2005-11-01,313203,363460,1.1604614259761241,8.94585804476755
2005-12-01,317647,367815,1.157936325543764,8.961587804693982
2006-01-01,319732,369519,1.1557147861333867,9.033866342019014
2006-02-01,321646,373014,1.1597035249933156,9.08912079824451
2006-03-01,322013,374722,1.1636859381453544,9.502531718746287
2006-04-01,324313,379237,1.1693549133090564,8.746663626487127
2006-05-01,329012,382179,1.161595929631746,10.758686160382158
2006-06-01,330765,385141,1.1643946608619413,11.175159738771235
2006-07-01,332325,388679,1.1695749642669073,10.116503310204973
2006-08-01,335442,392225,1.1692781464455853,9.38920593510517
2006-09-01,331075,394221,1.1907301970852526,6.132491304556886
2006-10-01,329831,396484,1.2020822785002017,3.9292792750211802
2006-11-01,330669,400269,1.2104823857089717,5.576574937021683
2006-12-01,339191,398773,1.1756591418994018,6.782371626365125
2007-01-01,334342,400024,1.19645153764708,4.569451915979639
2007-02-01,339166,401692,1.1843522051148996,5.446982085895669
2007-03-01,342358,404019,1.180106788800028,6.318067904090818
2007-04-01,348432,405540,1.1638999862239978,7.4369513402176235
2007-05-01,350481,406704,1.1604166844993025,6.5252939102525165
2007-06-01,351639,408147,1.1606988985863342,6.310824905899959
2007-07-01,349584,409190,1.1705055151265504,5.193410065447979
